HLA_Allele,four_digit,OR
HLA-DRB1 ,*10:01,4.65
HLA-DRB1 ,*04:01,4.03
HLA-DRB1,"*04:04, *04:05, *04:08, *04:10 ",3.63
HLA-DRB1,"*01:01, *01:02",2.11
HLA-DRB1,*09:01 ,1.82
HLA-DRB1,"*16:01, *16:02",1.58
HLA-DRB1,"*04:03, *04:06, *04:07, *04:11",1.29
HLA-DRB1,"*08:01, *08:02, *08:03, *08:04, *08:06, *14:15",0.83
HLA-DRB1,"*14:01, *14:05, *14:07 ",0.77
HLA-DRB1,"*11:01, *11:04, *13:05, *14:02, *14:06",0.76
HLA-DRB1,*01:03 ,0.71
HLA-DRB1,"*03:01, *03:02",0.67
HLA-DRB1,"*11:02, *11:03, *13:01, *13:02, *13:04",0.6
HLA-DRB1,*14:04,0.49
HLA-B ,"*08101 , *08201, *08202",2.13
HLA-DPB1 ,"*02:01,*02:02, *04:01, *05:01,*05:02, *16:01, *19:01, *23:01, *34:01",1.31
HLA-A ,"*1:01, *23:01, *24:02,*24:03,*24:04, *24:07, *24:10, *26:01,*26:03,*26:08, *29:01, *29:02, *30:01,*30:02, *30:04, *36:01, *80:01",0.85
HLA-C,*6:02,1
HLA-B,"*27:02, *27:03,*27:04,*27:05, *27:06, *27:07",1
